Name of the file,Topic,Participant,Time,Dialogue
/usr2/home/chuchenl/babel_sample.txt,,0,[0.000],and <hes> (()) nolusha
/usr2/home/chuchenl/babel_sample.txt,,1,[5.185],<no-speech> <sta> uyabo nje isivalo lakhala balibamba bebangisana lawa <breath> kusebusuku benza emunyango <no-speech> isivalo angangasibona sishonaphi usisi lo owayedlula wasinyathela
/usr2/home/chuchenl/babel_sample.txt,,0,[22.325],ngobani
/usr2/home/chuchenl/babel_sample.txt,,1,[24.885],ya <no-speech> mmhm osasho ngani ukuthi hello
/usr2/home/chuchenl/babel_sample.txt,,0,[29.295],hayi inethiwekhi yakho shuthi iyabheda ke ehhe
/usr2/home/chuchenl/babel_sample.txt,,1,[35.635],mmhm ngithi mina usisi bo ngoba ola ekhaya <no-speech> manje khona <sta> lento hawe manje khona into akayenzayo kufanele ngikufonele amaminute ayishumi ungalivali amaminute ayishumi engakapheli
/usr2/home/chuchenl/babel_sample.txt,,0,[47.585],<sta> soyixoxela nje <no-speech> ubuwenzani ke (())
/usr2/home/chuchenl/babel_sample.txt,,1,[62.175],uhuh ngithe mina mangabe lilokhuza ungalivali
/usr2/home/chuchenl/babel_sample.txt,,0,[67.765],angithi usuyezwa
/usr2/home/chuchenl/babel_sample.txt,,1,[70.305],mmhm wenzani ke lapho
/usr2/home/chuchenl/babel_sample.txt,,0,[74.015],ehhe
/usr2/home/chuchenl/babel_sample.txt,,1,[76.665],mmhm bayaphila inethiwekhi yakho ibuye ihluphe ekabani inethiwekhi ehluphayo <sta>
/usr2/home/chuchenl/babel_sample.txt,,0,[84.675],ehhe
/usr2/home/chuchenl/babel_sample.txt,,1,[88.615],mmhm kodwa ke njalo ungalivali njalo umangabe osangizwa ke ungalivali ngoba kukhona inamba okufanele ngizithole lana <sta> <no-speech> mosuqedile uyezwa
/usr2/home/chuchenl/babel_sample.txt,,0,[100.625],mmhm kukhona inamba okufuneka ngithole ungaluvali wena ucingo
/usr2/home/chuchenl/babel_sample.txt,,1,[105.645],ulokhu ukhuluma nje noma ungangizwa ehhe
/usr2/home/chuchenl/babel_sample.txt,,0,[112.185],mmhm bakhona bayaganga oSpha ngamanzi
/usr2/home/chuchenl/babel_sample.txt,,1,[117.285],baganga ngamanzi oSpha
/usr2/home/chuchenl/babel_sample.txt,,0,[124.315],ehhe <no-speech> ehhe usebuyile abuye later nyana nje
/usr2/home/chuchenl/babel_sample.txt,,1,[132.455],kade ngiqedile sengihlalele sengizovakashela kaMasithi
/usr2/home/chuchenl/babel_sample.txt,,0,[139.335],mmhm
/usr2/home/chuchenl/babel_sample.txt,,1,[145.245],hayi bo ngizokwenza lutho <laugh>
/usr2/home/chuchenl/babel_sample.txt,,0,[149.825],ngeke ngenze lutho
/usr2/home/chuchenl/babel_sample.txt,,1,[153.345],mmhm ngiyibo- mmhm ngiyibonile wenz- <no-speech> ehhe
